ID TAREA,TIPO DE TAREA,TAREA,DESCRIPCIÓN,VARIANTES,CATEGORIA,OBJETIVO,ESPACIO,SERIES,TIEMPO SERIES,TIEMPO TOTAL,MATERIAL,IMAGEN TAREA,ENLACE VIDEO DRIVE,ID_ENLACE_VIDEO_DRIVE,VIDEO_DRIVE
T11,ACCIONES COMBINADAS,ATAQUE 5x3 - JUGADA MARCADA,"Creamos una jugada de ataque para el sistema 1-2-3-2, donde buscaremos que cuando el jugador de banda reciba el balón, el delantero de su lado ocupe el espacio detrás del jugador rival que salga a presionar al nuestro jugador de banda. A partir de ahí, intentaremos acabar con un centro y remate. Ocupando bien las zonas de remate.",,"ALEVIN , BENJAMIN",BUSCAR SUPERIORIDADES,1/2 campo,4,4,20,"BALONES , CHINOS , PETOS",TAREAS_Images/12VFDR106.IMAGEN TAREA.171808.jpg,https://drive.google.com/file/d/17Si5u11yKdhU0KeH1wD5Qwq5fggVkeaN/view?usp=share_link,17Si5u11yKdhU0KeH1wD5Qwq5fggVkeaN,http://drive.google.com/uc?id=17Si5u11yKdhU0KeH1wD5Qwq5fggVkeaN
T12,ACCIONES COMBINADAS,ATAQUES 1x0.1x1.2x1,"Iniciamos con jugador de la izquierda con conducción y tiro a portería sin oposición. Cuando acaba, se queda a defender al jugador que sale del medio y se realiza un 1x1. Cuando acaban, sale el jugador de la derecha y juega con el jugador que ha salido primero 2x1 contra el segundo jugador.",,"INFANTIL , ALEVIN , BENJAMIN",FINALIZAR,Doble area,3,4,15,"BALONES , CHINOS , PETOS",TAREAS_Images/12VFDR107.IMAGEN TAREA.171842.jpg,https://drive.google.com/file/d/173hXYmA2YpZ032_64bj8afg-aT6LQZVx/view?usp=share_link,173hXYmA2YpZ032_64bj8afg-aT6LQZVx,http://drive.google.com/uc?id=173hXYmA2YpZ032_64bj8afg-aT6LQZVx
T13,ACCIONES COMBINADAS,ATAQUES 1x0.2x1.3x1.4x2,"Iniciamos un ataque de un jugador rojo solo contra el portero, teniendo que finalizar antes de entrar al área. Cuando acaba la acción, sale un compañero y un rival y jugamos un 2x1. Cuando acaba la acción sale un tercer compañero y se juega un 3x1 y para finalizar, sale un compañero y un rival y se juega un 4x2. En todas las acciones, si el equipo en inferioridad consigue robar, podrá marcar gol en portería pequeña.",,"SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN",BUSCAR SUPERIORIDADES,Doble area,3,4,15,"BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA",TAREAS_Images/12VFDR108.IMAGEN TAREA.171905.jpg,https://drive.google.com/file/d/16VUz14EeHQgN52KeYbBeOjMwB2Jkk7ss/view?usp=share_link,16VUz14EeHQgN52KeYbBeOjMwB2Jkk7ss,http://drive.google.com/uc?id=16VUz14EeHQgN52KeYbBeOjMwB2Jkk7ss
T14,ACCIONES COMBINADAS,ATAQUES 1x0.2x1.3x2,"Se inicia un ataque del jugador central solo contra el portero, teniendo que finalizar antes de entrar al área. Cuando finaliza, salen 2 amarillos y se juega un 2x1, cuando acaba la acción, salen dos compañeros rojos y se juega un 3x2. En todas las acciones, si el equipo en inferioridad consigue robar, podrá marcar gol en portería pequeña.",,"SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN",BUSCAR SUPERIORIDADES,Doble area,3,4,15,"BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA",TAREAS_Images/12VFDR109.IMAGEN TAREA.171937.jpg,https://drive.google.com/file/d/19H9s7BKdQdgFR-5Tqr4nfj9kpi64IwUr/view?usp=share_link,19H9s7BKdQdgFR-5Tqr4nfj9kpi64IwUr,http://drive.google.com/uc?id=19H9s7BKdQdgFR-5Tqr4nfj9kpi64IwUr
T15,ACCIONES COMBINADAS,ATAQUES 1x1.2x1.2x2.3x2,"Se inicia un ataque del jugador central solo contra el portero, teniendo que finalizar antes de entrar al área. Cuando finaliza, salen dos rivales y se juega un 2x1, cuando acaba la acción, sale un compañero y se juega un 2x2. Cuando acaban la acción, sale otro rival y se juega un 3x2. En todas las acciones, si el equipo en inferioridad consigue robar, podrá marcar gol en portería pequeña.",,"SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN",FINALIZAR,Doble area,3,4,15,"BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA",TAREAS_Images/12VFDR110.IMAGEN TAREA.172201.jpg,https://drive.google.com/file/d/1ADr91442v9N9U6FJvoeUGg2DUOX6mYqR/view?usp=share_link,1ADr91442v9N9U6FJvoeUGg2DUOX6mYqR,http://drive.google.com/uc?id=1ADr91442v9N9U6FJvoeUGg2DUOX6mYqR
T16,ACCIONES COMBINADAS,ATAQUES 1x2.3x2,"Iniciamos con un pase del jugador rojo al que está dentro de la zona de juego, tendrá que proteger el balón durante 4 segundos con la presión de los 2 rivales. Si consigue aguantar, a los 4 segundos entrarán sus 2 compañeros para hacer un 3x2. Si no lo consigue se jugará un 2x1 teniendo amarillo 10 segundos para marcar en portería pequeña.",,"SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN",BUSCAR SUPERIORIDADES,Doble area,3,4,15,"BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA",TAREAS_Images/12VFDR111.IMAGEN TAREA.172422.jpg,https://drive.google.com/file/d/16Q-BJJEmEy68FOAmr-LAYKOkIShoEv8g/view?usp=share_link,16Q-BJJEmEy68FOAmr-LAYKOkIShoEv8g,http://drive.google.com/uc?id=16Q-BJJEmEy68FOAmr-LAYKOkIShoEv8g
T17,ACCIONES COMBINADAS,ATAQUES 2x1 PASILLOS INTERIORES,Jugamos en dos espacios. Iniciamos con pase a jugador alejado que deja de cara para que se inicie el ataque 2x1. Habrá que desmarcarse en la zona del pasillo interior para filtrar pase y poder finalizar. Hay fuera de juego.,Cambiaremos de zona cada serie.,"CADETE , INFANTIL , ALEVIN , BENJAMIN",DESMARQUES DE APOYO,1/2 campo,3,4,15,"BALONES , CHINOS , PETOS",TAREAS_Images/12VFDR112.IMAGEN TAREA.172444.jpg,https://drive.google.com/file/d/18Wh_BXwqyC8TraDoQQuRfrQPgcaUqy5-/view?usp=share_link,18Wh_BXwqyC8TraDoQQuRfrQPgcaUqy5-,http://drive.google.com/uc?id=18Wh_BXwqyC8TraDoQQuRfrQPgcaUqy5-
T18,ACCIONES COMBINADAS,ATAQUES 2x2.1x1,"Se juega un 2x2 en la zona de doble área, cuando acaba la acción (los defensores pueden robar y marcar gol en porterías pequeñas) los atacantes tendrán que ir a las zonas laterales a defender el 1x1, pudiendo si roban, marcar gol en porterías pequeñas.",,"SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN",TRANSICIONES DEFENSIVAS,1/2 campo,4,4,20,"BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA",TAREAS_Images/12VFDR113.IMAGEN TAREA.172617.jpg,https://drive.google.com/file/d/1A4t2hzyWeVYgjL9ClnPCtkDLM9mCwiY2/view?usp=share_link,1A4t2hzyWeVYgjL9ClnPCtkDLM9mCwiY2,http://drive.google.com/uc?id=1A4t2hzyWeVYgjL9ClnPCtkDLM9mCwiY2
T19,ACCIONES COMBINADAS,ATAQUES 3x2,"Se juega un ataque 3x2 siendo rojo equipo que ataca en superioridad. Buscamos amplitud, fijar, finalizar rápido. El equipo que defiende en inferioridad, si consigue robar o el portero atrapa el balón, tienen 10 segundos para marcar gol en porterías pequeñas.",,"SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN",BUSCAR SUPERIORIDADES,Doble area,3,4,15,"BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA",TAREAS_Images/12VFDR114.IMAGEN TAREA.172649.jpg,https://drive.google.com/file/d/17mRTEKBQ-1KRfuAW_Cw7kwQs4oSoZbfI/view?usp=share_link,17mRTEKBQ-1KRfuAW_Cw7kwQs4oSoZbfI,http://drive.google.com/uc?id=17mRTEKBQ-1KRfuAW_Cw7kwQs4oSoZbfI
T20,ACCIONES COMBINADAS,ATAQUES 3x2 DOBLE,"Iniciamos con pase largo por la zona de banda, para que el jugador que sale en carrera ponga un centro al área donde se jugará un 2x2. Cuando acaba la acción portera inicia de nuevo con jugadores rojos para realizar un ataque 3x2 a las porterías pequeñas, en esta segunda acción, los azules si roban tendrán 10 segundos para marcar en portería grande.",,"SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN",VERTICALIDAD,1/2 campo,4,4,20,"BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA",TAREAS_Images/12VFDR115.IMAGEN TAREA.172755.jpg,https://drive.google.com/file/d/16dC430qi_KdPwHa1a1l2VatmjgOCYtLA/view?usp=share_link,16dC430qi_KdPwHa1a1l2VatmjgOCYtLA,http://drive.google.com/uc?id=16dC430qi_KdPwHa1a1l2VatmjgOCYtLA
T21,ACCIONES COMBINADAS,ATAQUES 3x2.2x1,"Iniciamos un ataque 3x2 azul en superioridad, el jugador que finaliza se queda a defender a los 2 rojos. Esta acción la inicia el entrenador dando balón a los rojos, a no ser que haya robo de uno de los jugadores rojos, en ese caso, se jugará con el mismo balón. Cambio de rol, 2 series cada equipo.",,"SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN",TRANSICIONES DEFENSIVAS,Doble area,3,4,15,"BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA",TAREAS_Images/12VFDR116.IMAGEN TAREA.172937.jpg,https://drive.google.com/file/d/19JZNR554RsbqKwryUKpSUrueU4znTWoL/view?usp=share_link,19JZNR554RsbqKwryUKpSUrueU4znTWoL,http://drive.google.com/uc?id=19JZNR554RsbqKwryUKpSUrueU4znTWoL
T22,ACCIONES COMBINADAS,ATAQUES 3x2.4x3,"Iniciamos la acción con un ataque 3x2 de los rojos en superioridad. Cuando acaba la acción, salen 2 amarillos y se juega un 4x3. En todas las acciones, si el equipo en inferioridad consigue robar, podrá marcar gol en portería pequeña.",,"SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN",BUSCAR SUPERIORIDADES,1/2 campo,3,4,15,"BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA",TAREAS_Images/12VFDR117.IMAGEN TAREA.173115.jpg,https://drive.google.com/file/d/19i9e4JBphXSQV0b2EWT0uKZRaSJJVH1F/view?usp=share_link,19i9e4JBphXSQV0b2EWT0uKZRaSJJVH1F,http://drive.google.com/uc?id=19i9e4JBphXSQV0b2EWT0uKZRaSJJVH1F
T23,ACCIONES COMBINADAS,ATAQUES 3x2+1,"Se inicia la acción con un ataque 3x2+1 donde a los 4 segundos saldrá otro defensor para ayudar y que se convierta en un 3x3. El equipo en inferioridad, si roba, puede marcar en porterías pequeñas.",,"SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN",ATAQUE RAPIDO,Doble area,4,3,15,"BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA",TAREAS_Images/12VFDR118.IMAGEN TAREA.172818.jpg,https://drive.google.com/file/d/18jTpp7WmGa3HrswSImCbucpteexVN9Zi/view?usp=share_link,18jTpp7WmGa3HrswSImCbucpteexVN9Zi,http://drive.google.com/uc?id=18jTpp7WmGa3HrswSImCbucpteexVN9Zi
T24,ACCIONES COMBINADAS,ATAQUES 3x2+1 INICIO DE BALÓN LARGO,"Se inicia la acción con un pase en largo al jugador lejano, a partir de ahí, se mueven los compañeros y rivales para empezar una acción de ataque 3x2+1 donde a los 4 segundos de recibir el balón el jugador alejado, saldrá otro defensor para ayudar y que se convierta en un 3x3. El equipo en inferioridad, si roba, puede marcar en porterías pequeñas.",,"SENIOR , JUVENIL , CADETE , INFANTIL",BUSCAR SUPERIORIDADES,Doble area,4,3,15,"BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA",TAREAS_Images/12VFDR119.IMAGEN TAREA.172859.jpg,https://drive.google.com/file/d/191GdLCpuYPfkMKyWg5IZW2NCsbrNP6wY/view?usp=share_link,191GdLCpuYPfkMKyWg5IZW2NCsbrNP6wY,http://drive.google.com/uc?id=191GdLCpuYPfkMKyWg5IZW2NCsbrNP6wY
T25,ACCIONES COMBINADAS,ATAQUES 4x3.1x1,"Jugamos un ataque 4x3, donde el que inicia tiene que dar un pase obligatorio antes de entrar en la zona gris. Los demás compañeros tendrán que crear líneas de pase para poder recibir, el delantero, tendrá que fijar a los 2 rivales para liberar a un compañero. Cuando acaba la acción, los 2 últimos que tocan el balón tienen que defender el 1x1 en velocidad, el que ataque en el 1x1 no puede salir hasta que el rival ha llegado a su altura.",,"SENIOR , JUVENIL , CADETE , INFANTIL",TRANSICIONES DEFENSIVAS,1/2 campo,4,4,20,"BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA",TAREAS_Images/12VFDR120.IMAGEN TAREA.173159.jpg,https://drive.google.com/file/d/19xWLPvZxro-cj6Ag6HCY7h5NKc_XNZab/view?usp=share_link,19xWLPvZxro-cj6Ag6HCY7h5NKc_XNZab,http://drive.google.com/uc?id=19xWLPvZxro-cj6Ag6HCY7h5NKc_XNZab
T26,ACCIONES COMBINADAS,ATAQUES 5x3.6x5,"Se inicia con un ataque 5x3 con superioridad de equipo amarillo. Cuando acaba la acción, saldrán 3 rojos y se cambiará la polaridad del ataque para jugar un 6x5. En todas las acciones, si el equipo en inferioridad consigue robar, podrá marcar gol en portería pequeña.",,"SENIOR , JUVENIL , CADETE , INFANTIL",BUSCAR SUPERIORIDADES,3/4 campo,4,4,20,"BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA",TAREAS_Images/12VFDR121.IMAGEN TAREA.173221.jpg,https://drive.google.com/file/d/16mJQsgyDqDO8kaQ-GY3-EyIg63LTGHzG/view?usp=share_link,16mJQsgyDqDO8kaQ-GY3-EyIg63LTGHzG,http://drive.google.com/uc?id=16mJQsgyDqDO8kaQ-GY3-EyIg63LTGHzG
T27,ACCIONES COMBINADAS,"ATAQUES SUPERIORIDAD, IGUALDAD O INFERIORIDAD","Colocamos 5 postas y las numeramos. 1-2-3 serán de ataque y 4-5 defensa. Hacemos dos grupos, unos atacan otros defienden. El entrenador dirá números y saldrán los jugadores de las postas con esos números. Podemos trabajar el ataque en igualdad, superioridad e inferioridad. Cada serie se cambia de rol.",,"ALEVIN , BENJAMIN , PREBENJAMIN",FINALIZAR,1/2 campo,3,4,15,"BALONES , CHINOS",TAREAS_Images/12VFDR122.IMAGEN TAREA.173252.jpg,https://drive.google.com/file/d/16el5bpC23iGg6FAfcsnG6wTb_ILeQ4jJ/view?usp=share_link,16el5bpC23iGg6FAfcsnG6wTb_ILeQ4jJ,http://drive.google.com/uc?id=16el5bpC23iGg6FAfcsnG6wTb_ILeQ4jJ
T28,ACCIONES COMBINADAS,CENTROS LATERALES,"Inicia el portero con un pase con la mano/pie al jugador de banda, que, tras un control, tiene que centrar a la portería contraria. El centro se juega un 2x2. Cada pareja tiene que hacer un ataque y una defensa. Siempre inicia con jugador de banda el portero. Cada serie cambio de portería.",,"SENIOR , JUVENIL , CADETE , INFANTIL",CENTRO Y REMATE,Doble area,3,4,15,"BALONES , PETOS , PORTERIA REGLAMENTARIA",TAREAS_Images/12VFDR123.IMAGEN TAREA.173339.jpg,https://drive.google.com/file/d/16zPuLVq2CkzvuXvDX75isXE3KJFVSo4z/view?usp=share_link,16zPuLVq2CkzvuXvDX75isXE3KJFVSo4z,http://drive.google.com/uc?id=16zPuLVq2CkzvuXvDX75isXE3KJFVSo4z
T29,ACCIONES COMBINADAS,COBERTURAS Y REPLIEGUE,"Se juega un 6x4 con 2 jugadores fijos en las bandas. Los defensores saltarán a la presión del poseedor y los demás realizarán coberturas, a la señal del entrenador, el equipo atacante, lanzara un balón largo a uno de los jugadores de banda para realizar un ataque rápido. Los defensores tendrán que realizar un repliegue intensivo.",Que den el pase largo cuando ellos quieran.,"SENIOR , JUVENIL , CADETE , INFANTIL",COBERTURAS,1/2 campo,3,3,12,"BALONES , CHINOS , PETOS",TAREAS_Images/12VFDR124.IMAGEN TAREA.173356.jpg,https://drive.google.com/file/d/1APZdGfHCQIrbHSoDnsU1El5AO3q84SqU/view?usp=share_link,1APZdGfHCQIrbHSoDnsU1El5AO3q84SqU,http://drive.google.com/uc?id=1APZdGfHCQIrbHSoDnsU1El5AO3q84SqU
T30,ACCIONES COMBINADAS,COMPETICIÓN DE CENTROS LATERALES,"Se realiza una pared en la banda, para realizar un centro, al remate entraran 3 jugadores. Para que el gol valga, tiene que ser un remate al primer toque. Cada acción de un lado gana el equipo que más goles consigue. La última serie, metemos oposición (un jugador).",,"SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN",CENTRO Y REMATE,Doble area,3,4,15,"BALONES , CHINOS , PETOS",TAREAS_Images/12VFDR125.IMAGEN TAREA.173451.jpg,https://drive.google.com/file/d/17Urc0JRN45fKU71XPbiabOgnK4PHc8OK/view?usp=share_link,17Urc0JRN45fKU71XPbiabOgnK4PHc8OK,http://drive.google.com/uc?id=17Urc0JRN45fKU71XPbiabOgnK4PHc8OK
T31,ACCIONES COMBINADAS,CONDUCCIÓN + 1x1,"Inicia un jugador rojo en conducción, a la altura del cono, tiene que hacer gol en la portería pequeña. Cuando dispara, tiene que ir rápido a defender un 1x1 contra el jugador amarillo. Cada serie cambio de rol.",,"CADETE , INFANTIL , ALEVIN , BENJAMIN",CONDUCCIÓN,20x20,3,4,15,"BALONES , CONOS , PORTERIA PEQUEÑA",TAREAS_Images/12VFDR126.IMAGEN TAREA.173506.jpg,https://drive.google.com/file/d/17LT8PlmrRH8oS8P2tZKfdK86gA8L7eAX/view?usp=share_link,17LT8PlmrRH8oS8P2tZKfdK86gA8L7eAX,http://drive.google.com/uc?id=17LT8PlmrRH8oS8P2tZKfdK86gA8L7eAX
T32,ACCIONES COMBINADAS,FINALIZACIÓN + 1x1,"Se inicia a la vez desde los dos lados. Realizamos la rueda de pases en las dos zonas, finalizando en portería pequeña (precisión). El jugador que finaliza en portería pequeña tiene que ir rápidamente a la zona central, para jugar un 1x1. El que llega primero ataca y el otro defiende.",,"SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN",FINALIZAR,1/2 campo,4,4,20,"BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA",TAREAS_Images/12VFDR127.IMAGEN TAREA.173818.jpg,https://drive.google.com/file/d/16wiW4BN06GmdQktrFy6ne_XX_LdwmXdX/view?usp=share_link,16wiW4BN06GmdQktrFy6ne_XX_LdwmXdX,http://drive.google.com/uc?id=16wiW4BN06GmdQktrFy6ne_XX_LdwmXdX
T33,ACCIONES COMBINADAS,FINALIZACIÓN + 2x1,"Se juega en dos zonas. En la roja, se realiza una secuencia de pase para acabar con un disparo a portería. Cuando acaba, se juega un 2x1 en la otra zona, donde el primero que recibe, tiene que dar un pase obligatorio a su compañero para poder iniciar el ataque.",,"ALEVIN , BENJAMIN , PREBENJAMIN",FINALIZAR,Doble area,4,3,15,"BALONES , CHINOS",TAREAS_Images/12VFDR128.IMAGEN TAREA.173839.jpg,https://drive.google.com/file/d/18eJNkzc7qr-U49jpnK5fPH_eTOiiL8cx/view?usp=share_link,18eJNkzc7qr-U49jpnK5fPH_eTOiiL8cx,http://drive.google.com/uc?id=18eJNkzc7qr-U49jpnK5fPH_eTOiiL8cx
